VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,population
CICDNERV,Diseases of the nervous system,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,9284,
CICDNERV,Diseases of the nervous system,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,10120,
CICDNERV,Diseases of the nervous system,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,9947,
CICDCIRC,Diseases of the circulatory system,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,45520,
CICDCIRC,Diseases of the circulatory system,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,45637,
CICDCIRC,Diseases of the circulatory system,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,44038,
CICDCIRC,Diseases of the circulatory system,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,43615,
CICDCIRC,Diseases of the circulatory system,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,45069,
CICDCIRC,Diseases of the circulatory system,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,45642,
CICDCIRC,Diseases of the circulatory system,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,44186,
CICDCIRC,Diseases of the circulatory system,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,43705,
CICDCIRC,Diseases of the circulatory system,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,42169,
CICDCIRC,Diseases of the circulatory system,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,43249,
CICDCIRC,Diseases of the circulatory system,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,40289,
CICDISCH,Ischaemic heart diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,21718,
CICDISCH,Ischaemic heart diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,21526,
CICDISCH,Ischaemic heart diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,20108,
CICDISCH,Ischaemic heart diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,19778,
CICDISCH,Ischaemic heart diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,20199,
CICDISCH,Ischaemic heart diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,19911,
CICDISCH,Ischaemic heart diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,19194,
CICDISCH,Ischaemic heart diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,18745,
CICDISCH,Ischaemic heart diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,17756,
CICDISCH,Ischaemic heart diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,18244,
CICDISCH,Ischaemic heart diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,16587,
CICDMYOC,Acute myocardial infarction,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,9951,
CICDMYOC,Acute myocardial infarction,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,9830,
CICDMYOC,Acute myocardial infarction,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,9296,
CICDMYOC,Acute myocardial infarction,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,8613,
CICDMYOC,Acute myocardial infarction,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,8632,
CICDMYOC,Acute myocardial infarction,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,8463,
CICDMYOC,Acute myocardial infarction,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,8032,
CICDMYOC,Acute myocardial infarction,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,7847,
CICDMYOC,Acute myocardial infarction,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,7354,
CICDMYOC,Acute myocardial infarction,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,7101,
CICDMYOC,Acute myocardial infarction,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,6519,
CICDCERV,Cerebrovascular diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,11216,
CICDCERV,Cerebrovascular diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,11245,
CICDCERV,Cerebrovascular diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,10785,
CICDCERV,Cerebrovascular diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,10543,
CICDCERV,Cerebrovascular diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,10729,
CICDCERV,Cerebrovascular diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,10867,
CICDCERV,Cerebrovascular diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,10466,
CICDCERV,Cerebrovascular diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,10190,
CICDCERV,Cerebrovascular diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,9983,
CICDCERV,Cerebrovascular diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,9891,
CICDCERV,Cerebrovascular diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,9470,
CICDREPS,Diseases of the respiratory system,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,11961,
CICDREPS,Diseases of the respiratory system,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,12518,
CICDREPS,Diseases of the respiratory system,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,13260,
CICDREPS,Diseases of the respiratory system,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,12475,
CICDREPS,Diseases of the respiratory system,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,13795,
CICDREPS,Diseases of the respiratory system,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,14377,
CICDREPS,Diseases of the respiratory system,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,14829,
CICDREPS,Diseases of the respiratory system,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,16262,
CICDREPS,Diseases of the respiratory system,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,14555,
CICDREPS,Diseases of the respiratory system,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,16275,
CICDREPS,Diseases of the respiratory system,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,12721,
CICDINPN,Influenza,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,24,
CICDINPN,Influenza,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,47,
CICDINPN,Influenza,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,152,
CICDINPN,Influenza,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,71,
CICDINPN,Influenza,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,244,
CICDINPN,Influenza,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,291,
CICDINPN,Influenza,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,455,
CICDINPN,Influenza,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,1257,
CICDINPN,Influenza,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,137,
CICDINPN,Influenza,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,1077,
CICDINPN,Influenza,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,54,
CICDBAEM,Chronic obstructive Pulmonary diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,5417,
CICDBAEM,Chronic obstructive Pulmonary diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,5874,
CICDBAEM,Chronic obstructive Pulmonary diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,5922,
CICDBAEM,Chronic obstructive Pulmonary diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,6464,
CICDBAEM,Chronic obstructive Pulmonary diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,7029,
CICDBAEM,Chronic obstructive Pulmonary diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,7194,
CICDBAEM,Chronic obstructive Pulmonary diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,7226,
CICDBAEM,Chronic obstructive Pulmonary diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,7540,
CICDBAEM,Chronic obstructive Pulmonary diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,7129,
CICDBAEM,Chronic obstructive Pulmonary diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,7512,
CICDBAEM,Chronic obstructive Pulmonary diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,6311,
CICDDIGE,Diseases of the digestive system,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,5120,
CICDDIGE,Diseases of the digestive system,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,5210,
CICDDIGE,Diseases of the digestive system,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,5255,
CICDDIGE,Diseases of the digestive system,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,5422,
CICDDIGE,Diseases of the digestive system,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,5488,
CICDDIGE,Diseases of the digestive system,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,5724,
CICDDIGE,Diseases of the digestive system,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,5784,
CICDDIGE,Diseases of the digestive system,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,5956,
CICDDIGE,Diseases of the digestive system,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,5962,
CICDDIGE,Diseases of the digestive system,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,6413,
CICDDIGE,Diseases of the digestive system,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,6496,
CICDCIRR,Chronic liver diseases and cirrhosis,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,1115,
CICDCIRR,Chronic liver diseases and cirrhosis,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,1089,
CICDCIRR,Chronic liver diseases and cirrhosis,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,1051,
CICDCIRR,Chronic liver diseases and cirrhosis,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,1257,
CICDCIRR,Chronic liver diseases and cirrhosis,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,1289,
CICDCIRR,Chronic liver diseases and cirrhosis,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,1356,
CICDCIRR,Chronic liver diseases and cirrhosis,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,1267,
CICDCIRR,Chronic liver diseases and cirrhosis,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,1402,
CICDCIRR,Chronic liver diseases and cirrhosis,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,1419,
CICDCIRR,Chronic liver diseases and cirrhosis,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,1513,
CICDCIRR,Chronic liver diseases and cirrhosis,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,1606,
CICDPEAU,Diseases of the skin and subcutaneous tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,398,
CICDPEAU,Diseases of the skin and subcutaneous tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,443,
CICDPEAU,Diseases of the skin and subcutaneous tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,398,
CICDPEAU,Diseases of the skin and subcutaneous tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,435,
CICDPEAU,Diseases of the skin and subcutaneous tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,480,
CICDPEAU,Diseases of the skin and subcutaneous tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,534,
CICDPEAU,Diseases of the skin and subcutaneous tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,534,
CICDPEAU,Diseases of the skin and subcutaneous tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,551,
CICDPEAU,Diseases of the skin and subcutaneous tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,601,
CICDPEAU,Diseases of the skin and subcutaneous tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,627,
CICDPEAU,Diseases of the skin and subcutaneous tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,613,
CICDOSTE,Diseases of the musculoskeletal system and connective tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,1179,
CICDOSTE,Diseases of the musculoskeletal system and connective tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,1172,
CICDOSTE,Diseases of the musculoskeletal system and connective tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,1160,
CICDOSTE,Diseases of the musculoskeletal system and connective tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,1185,
CICDOSTE,Diseases of the musculoskeletal system and connective tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,1237,
CICDOSTE,Diseases of the musculoskeletal system and connective tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,1318,
CICDOSTE,Diseases of the musculoskeletal system and connective tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,1413,
CICDOSTE,Diseases of the musculoskeletal system and connective tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,1441,
CICDOSTE,Diseases of the musculoskeletal system and connective tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,1343,
CICDOSTE,Diseases of the musculoskeletal system and connective tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,1440,
CICDOSTE,Diseases of the musculoskeletal system and connective tissue,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,1310,
CICDGENI,Diseases of the genitourinary system,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,3400,
CICDGENI,Diseases of the genitourinary system,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,3476,
CICDGENI,Diseases of the genitourinary system,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,3817,
CICDGENI,Diseases of the genitourinary system,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,3108,
